company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Amazon,Mid Level,Deliver Results,Focus on key inputs and deliver quality outcomes,"Describe a time when you had to overcome significant obstacles to deliver results. What did you do?",Culture Fit,Mid,"Leaders focus on the key inputs for their business and deliver them with the right quality and in a timely fashion. Despite setbacks, they rise to the occasion and never settle.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Leadership,Strive to be Earth's Best Employer,Create a safer more diverse and more just work environment,"Tell me about a time when you took action to improve the work environment for your team or colleagues.",Leadership,Leadership,"Leaders work every day to create a safer, more productive, higher performing, more diverse, and more just work environment. They lead with empathy, have fun at work, and make it easy for others to have fun. Leaders ask themselves: Are my fellow employees growing? Are they empowered? Are they ready for what's next?","Amazon Leadership Principles, Amazon Corporate Website, 2021"
Amazon,Senior,Success and Scale Bring Broad Responsibility,Act responsibly and think long term,"Give me an example of when you had to balance short-term pressure with long-term responsibility. How did you approach it?",Values,Senior,"We started in a garage, but we're not there anymore. We are big, we impact the world, and we are far from perfect. We must be humble and thoughtful about even the secondary effects of our actions. Our local communities, planet, and future generations need us to be better every day.","Amazon Leadership Principles, Amazon Corporate Website, 2021"
Google,Senior,Focus on the User,Everything else will follow,"Give me an example of when you made a decision that prioritized user experience over business metrics. What was the result?",Culture Fit,Leadership,"Focus on the user and all else will follow.","Google's Official Ten Things We Know to Be True, about.google/philosophy/"
Google,Mid Level,Fast is Better than Slow,Speed is a competitive advantage,"Describe a situation where you had to balance speed with quality. How did you make that trade-off?",Problem Solving,Mid,"We know your time is valuable, so when you're seeking an answer on the web you want it right away–and we aim to please.","Google's Official Ten Things We Know to Be True, about.google/philosophy/"
Google,Senior,Great Just Isn't Good Enough,Always strive for improvement,"Give me an example of when you improved something that was already working well. What motivated you to do so?",Culture Fit,Senior,"Great just isn't good enough. We see being great at something as a starting point, not an endpoint.","Google's Official Ten Things We Know to Be True, about.google/philosophy/"
Google,Leadership,Googleyness,Professional excellence with intellectual humility,"Tell me about a time when you had to admit you were wrong and learn from someone else. How did it impact your approach?",Values,Leadership,"Attributes like enjoying fun, a certain dose of intellectual humility, a strong measure of conscientiousness, comfort with ambiguity, and evidence that you've taken some courageous or interesting paths in your life.","Laszlo Bock, Work Rules! book, 2015"
Meta,Senior,Move Fast,Speed enables innovation and learning,"Tell me about a time when you had to make a quick decision with limited information. How did you ensure you moved fast while minimizing risks?",Culture Fit,Senior,"Moving fast enables us to build more things and learn faster.","Mark Zuckerberg, 2012 IPO Letter"
Meta,Leadership,Focus on Impact,Prioritize work that creates meaningful change,"Give me an example of when you had to choose between multiple projects. How did you decide which would have the greatest impact?",Leadership,Leadership,"We are moving from a world where computing power was scarce to a place where it now is almost limitless.","Satya Nadella, Fortune, May 2024"
Microsoft,Leadership,Growth Mindset,Embrace challenges and learn from failures,"Tell me about a time when you failed at something important. What did you learn and how did you apply it?",Culture Fit,Senior,"Our ability to change our culture is the leading indicator of our future success.","Satya Nadella, Shareholders Meeting, 2015"
Microsoft,Senior,Respect,Treat everyone with dignity and value diverse perspectives,"Tell me about a time when you had to work with someone whose perspective was very different from yours. How did you handle it?",Teamwork,Senior,"We value integrity, honesty, openness, personal excellence, constructive self-criticism, continual self-improvement, and mutual respect.","Microsoft Standards of Business Conduct"
Apple,Leadership,Privacy,Protect user privacy as a fundamental right,"Give me an example of when you had to balance user experience with privacy concerns. How did you approach it?",Values,Mid,"We at Apple believe that privacy is a fundamental human right.","Tim Cook, ICDPPC Conference, Brussels, October 24, 2018"
Apple,Senior,Simplicity,Make the complex simple and intuitive,"Tell me about a time when you took a complex problem and found a simple solution. What was your approach?",Problem Solving,Senior,"We believe that we're on the face of the Earth to make great products, and that's not changing. We're constantly focusing on innovating. We believe in the simple, not the complex.","Tim Cook, Apple CEO Statement"
Netflix,Senior,Judgment,Make wise decisions despite ambiguity,"Tell me about a time when you had to make a difficult decision with incomplete information. How did you approach it?",Problem Solving,Senior,"Netflix values behaviors like judgment, communication, impact, curiosity, innovation, courage, passion, honesty, and selflessness in employees.","Reed Hastings, Netflix Culture Deck, 2009"
Netflix,Leadership,Dream Team,Only hire and retain the highest performers,"Give me an example of when you had to make a difficult decision about team composition. How did you handle it?",Leadership,Leadership,"We aim only to have the highest performers at Netflix, modeling ourselves on a professional sports team, not a family.","Netflix Official Culture Memo, jobs.netflix.com/culture"
McKinsey,Leadership,Client Impact,Create lasting positive change for clients,"Give me an example of when you helped a client achieve transformational results. What role did you play?",Culture Fit,Leadership,"To help our clients make distinctive, lasting, and substantial improvements in their performance and to build a great firm that attracts, develops, excites, and retains exceptional people.","McKinsey & Company Official Website, Purpose and Mission Statement"
McKinsey,Senior,Professional Development,Invest in continuous learning and growth,"Tell me about a time when you sought feedback that was difficult to hear. How did you use it to improve?",Culture Fit,Senior,"We are a values-driven organization working to meet the highest professional and ethical standards.","McKinsey & Company Official Website, About Us"
BCG,Leadership,Partnership,Build deep collaborative relationships,"Give me an example of when you turned a difficult client relationship around. What did you do?",Teamwork,Leadership,"Having a partnership culture rather than a corporate culture was an advantage... What I try to do is make it clear that we all have a responsibility to BCG first.","Rich Lesser, former BCG CEO, Wharton Knowledge interview"
BCG,Senior,Impact,Deliver measurable sustainable results,"Tell me about a time when you had to measure and demonstrate the impact of your work. How did you approach it?",Problem Solving,Senior,"Unlocking the potential of those who advance the world.","BCG Official Website, About Us"
Bain,Leadership,One Team,Work as one team with shared ambition,"Give me an example of when you embodied 'a Bainie never lets another Bainie fail.' What did you do?",Teamwork,Leadership,"A Bainie never lets another Bainie fail.","Bain & Company Official Website, Culture and Values"
Bain,Senior,Results Focus,Achieve extraordinary results that last,"Tell me about a time when you delivered results that exceeded expectations. What was your approach?",Culture Fit,Senior,"Across 65 cities in 40 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition, and redefine industries.","Bain & Company Official Website, About Us"
