company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Paramount Global,Senior,Crisis Management Through Planning,Managing through disruptions by having multiple contingency plans and levers to pull,Tell me about a time when you managed through a significant disruption or crisis by utilizing multiple strategies and contingency plans.,Problem Solving,Hard,"Obviously, we've been planning for this, we do have many levers to pull and that'll allow us to manage through the strike, even if it's for an extended duration.","Bob Bakish, Former CEO, Q1 2023 Earnings Call"
Paramount Global,Leadership,Collaborative Partnership,Building partnerships based on respect, camaraderie, and shared organizational values,Tell me about a time when you built a successful partnership or team collaboration based on mutual respect and shared vision.,Teamwork,Medium,"This new structure will allow us to continue leveraging the power of the entire company. Ours is a partnership built on respect, camaraderie and, most importantly, a shared love of Paramount Global, its employees and our world-class content.","Office of the CEO, Staff Memo, April 2024"
Fox Corporation,Entry Level,Employee Recognition,Acknowledging and celebrating team contributions to organizational success,Tell me about a time when you recognized or celebrated team members' contributions during a challenging period.,Culture Fit,Easy,"Several months ago when I first wrote to you about COVID-19, we all hoped that the duration and severity of the pandemic's impact would be far less substantial than what we have experienced so far. Notwithstanding the personal challenges we face and professional reimagining that we continue to undertake, your groups have collaborated to ensure that FOX continues to serve our viewers, partners and other stakeholders.","Lachlan Murdoch, Executive Chairman, Company Memo, 2020"
Fox Corporation,Mid Level,Editorial Independence,Standing firm on editorial decisions and values despite external pressure,Tell me about a time when you stood by an important decision or principle despite facing external pressure or criticism.,Values,Medium,"Congratulations are in order to the chairman of Fox News, Lachlan Murdoch, for his refusal to bow to a demand that he fire Tucker Carlson. It's nice to see a press baron standing up for a controversial newsroom star for a change.","The New York Sun, Editorial Commentary, 2021"
Fox Corporation,Senior,Collaborative Service,Ensuring collaborative efforts continue to serve stakeholders during organizational change,Tell me about a time when you led collaborative efforts to maintain service quality during a period of significant change or uncertainty.,Leadership,Medium,"Notwithstanding the personal challenges we face and professional reimagining that we continue to undertake, your groups have collaborated to ensure that FOX continues to serve our viewers, partners and other stakeholders.","Lachlan Murdoch, Executive Chairman, Company Memo, 2020"
Fox Corporation,Leadership,Freedom Commitment,Maintaining unwavering commitment to core values of freedom and independence,Tell me about a time when you demonstrated unwavering commitment to your organization's core values in the face of challenges.,Values,Hard,"My father firmly believed in freedom, and Lachlan is absolutely committed to the cause.","Rupert Murdoch, Statement on Succession, 2023"
Universal Music Group,Entry Level,Artist Development Investment,Investing in and developing new talent as the fundamental building block of success,Tell me about a time when you invested time or resources in developing someone's potential that led to positive results.,Values,Easy,"Our company's fundamental building block is artist development and in 2024, investment in new talent continued to produce spectacular results around the world.","Lucian Grainge, CEO, Staff Memo, 2025"
Universal Music Group,Mid Level,Artist-Centric Fairness,Ensuring fair compensation and treatment by addressing systemic issues that affect creators,Tell me about a time when you identified and addressed an unfair system or process that was negatively impacting others.,Problem Solving,Medium,"Our pioneering artist-centric strategy will extend its reach. We first focused on a fairer way to allocate the streaming pie among real artists by addressing fraud and other aspects that deprive artists of their just compensation.","Lucian Grainge, CEO, Staff Memo, 2024"
Universal Music Group,Senior,Relationship Building,Strengthening stakeholder relationships through innovative experiences and value-added services,Tell me about a time when you strengthened important business relationships by creating new experiences or value-added services.,Leadership,Medium,"The next focus of our strategy will be to grow the pie for all artists, by strengthening the artist-fan relationship through superfan experiences and products.","Lucian Grainge, CEO, Staff Memo, 2024"
Universal Music Group,Leadership,Future Innovation Blueprint,Creating innovative models and structures that serve as blueprints for industry transformation,Tell me about a time when you created an innovative approach or model that others in your industry adopted or used as a blueprint.,Leadership,Hard,"In short, we are creating the blueprint for the labels of the future.","Lucian Grainge, CEO, Staff Memo, 2024"
Sony Pictures Entertainment,Entry Level,Risk-Taking for Quality,Embracing calculated risks to create exceptional entertainment experiences,Tell me about a time when you took a calculated risk to improve the quality of your work or achieve better results.,Values,Medium,"To take great filmed entertainment comes from a willingness to take risks.","Tom Rothman, Chairman, Public Statement, 2024"
Sony Pictures Entertainment,Mid Level,Workforce Stability,Maintaining employment stability and team cohesion during industry disruptions,Tell me about a time when you helped maintain team stability and morale during a challenging period or industry disruption.,Culture Fit,Medium,"I'm intensely proud of how we navigated Covid. Unlike many, we had no layoffs.","Tom Rothman, Chairman, Public Statement, 2024"
Sony Pictures Entertainment,Senior,Strategic Focus,Identifying and focusing on valuable assets and opportunities that others may overlook,Tell me about a time when you identified valuable assets or opportunities that others had overlooked and successfully leveraged them.,Problem Solving,Hard,"When I took over Sony, it was said, oh, Sony has no IP. Not true. We actually had fantastic IP. We just needed to focus on it.","Tom Rothman, Chairman, Public Statement, 2024"
Sony Pictures Entertainment,Leadership,Value Creation Through Success,Creating lasting value by ensuring successful outcomes regardless of changing market conditions,Tell me about a time when you created lasting value for your organization by focusing on successful outcomes despite changing market conditions.,Leadership,Hard,"Successful movies become more valuable regardless of distribution platform changes.","Tom Rothman, Chairman, Strategic Philosophy, 2024"
