Blackstone,Leadership,Entrepreneurship,Think and act like owners to create value,Tell me about a time when you took calculated risks to pursue a significant opportunity.,Leadership,Hard,Company Culture
KKR,Entry Level,Ownership Mentality,Act like owners in every decision,Describe a situation where you took personal accountability for a team's performance.,Culture Fit,Medium,Firm Values
KKR,Mid Level,Partnership,Build lasting relationships based on mutual respect,Tell me about how you've developed a strategic partnership that created value for all parties.,Teamwork,Medium,Firm Values
KKR,Senior,Excellence,Deliver exceptional results consistently,Give me an example of how you've maintained high standards during a challenging period.,Leadership,Hard,Firm Values
KKR,Leadership,Long-term Thinking,Make decisions with long-term value creation in mind,Describe how you've balanced short-term pressures with long-term strategic objectives.,Leadership,Hard,Firm Values
Apollo,Entry Level,Performance,Deliver superior results for all stakeholders,Tell me about a time when you exceeded performance expectations under pressure.,Culture Fit,Medium,Company Values
Apollo,Mid Level,Innovation,Continuously innovate to create competitive advantages,Describe a situation where you implemented an innovative solution to improve efficiency.,Problem Solving,Medium,Company Values
Apollo,Senior,Collaboration,Work together to achieve shared success,Give me an example of how you've facilitated collaboration across different departments.,Teamwork,Hard,Company Values
Apollo,Leadership,Integrity,Maintain the highest standards of business conduct,Tell me about a time when you had to make a difficult decision that tested your integrity.,Values,Hard,Company Values
Carlyle Group,Entry Level,Performance Excellence,Deliver outstanding results consistently,Describe a project where you had to overcome significant obstacles to achieve success.,Problem Solving,Medium,Company Culture
Carlyle Group,Mid Level,Global Perspective,Leverage global insights to create value,Tell me about how you've applied international best practices to a local situation.,Culture Fit,Medium,Company Culture
Carlyle Group,Senior,Partnership,Build enduring relationships with all stakeholders,Give me an example of how you've managed relationships during a difficult negotiation.,Teamwork,Hard,Company Culture
Carlyle Group,Leadership,Innovation,Drive innovation to create competitive advantage,Describe how you've led transformational change in your organization.,Leadership,Hard,Company Culture
Citadel,Entry Level,Excellence,Pursue excellence in everything we do,Tell me about a time when you had to master a complex skill quickly to meet high standards.,Culture Fit,Medium,Company Values
Citadel,Mid Level,Innovation,Continuously innovate to maintain competitive edge,Describe a situation where you developed a novel approach to solve a recurring problem.,Problem Solving,Medium,Company Values
Citadel,Senior,Collaboration,Work together to achieve extraordinary results,Give me an example of how you've coordinated multiple teams to deliver a complex project.,Teamwork,Hard,Company Values
Citadel,Leadership,Integrity,Maintain the highest ethical standards in all dealings,Tell me about a time when you had to make a decision that put principles over profits.,Values,Hard,Company Values
Bridgewater,Entry Level,Radical Transparency,Communicate openly and honestly,Describe a situation where you had to give direct feedback that was difficult to hear.,Values,Medium,Principles
Bridgewater,Mid Level,Thoughtful Disagreement,Challenge ideas to reach the best decisions,Tell me about a time when you disagreed with a superior and how you handled it.,Teamwork,Medium,Principles
Bridgewater,Senior,Believability-Weighted Decision Making,Weight opinions based on track record and reasoning,Give me an example of how you've evaluated different perspectives to make a critical decision.,Leadership,Hard,Principles
Bridgewater,Leadership,Meritocracy,Reward based on merit and contribution,Describe how you've built a culture where the best ideas win regardless of hierarchy.,Leadership,Hard,Principles
LinkedIn,Entry Level,Members First,Put members at the center of everything we do,Tell me about a time when you advocated for user needs over business requirements.,Culture Fit,Medium,Company Values
LinkedIn,Mid Level,Relationships Matter,Build authentic professional relationships,Describe how you've cultivated meaningful professional relationships that created mutual value.,Teamwork,Medium,Company Values
LinkedIn,Senior,Be Open Honest and Constructive,Communicate with transparency and respect,Give me an example of how you've provided constructive feedback during a difficult conversation.,Values,Hard,Company Values
LinkedIn,Leadership,Demand Excellence,Set high standards and deliver exceptional results,Tell me about how you've raised the bar for performance in your team or organization.,Leadership,Hard,Company Values
Twitter/X,Entry Level,Serve the Public Conversation,Contribute to healthy public discourse,Describe a situation where you had to balance different viewpoints while maintaining objectivity.,Culture Fit,Medium,Company Mission
Twitter/X,Mid Level,Defend and Respect the User's Voice,Protect and amplify user expression,Tell me about a time when you stood up for someone whose voice wasn't being heard.,Values,Medium,Company Mission
Twitter/X,Senior,Make Every Second Count,Operate with speed and efficiency,Give me an example of how you've accelerated decision-making without sacrificing quality.,Problem Solving,Hard,Company Mission
Twitter/X,Leadership,Twitter is What's Happening,Stay connected to real-time events and trends,Describe how you've kept your team agile and responsive to rapid changes.,Leadership,Hard,Company Mission
Spotify,Entry Level,Play,Bring joy and creativity to work,Tell me about a time when you made work more enjoyable while maintaining productivity.,Culture Fit,Medium,Company Culture
Spotify,Mid Level,Be Yourself,Embrace authenticity and individual expression,Describe a situation where being authentic led to better team dynamics or outcomes.,Values,Medium,Company Culture
Spotify,Senior,Dream Big,Think beyond current limitations,Give me an example of how you've challenged conventional thinking to pursue ambitious goals.,Problem Solving,Hard,Company Culture
Spotify,Leadership,Grow Fast Together,Scale individually and as a team,Tell me about how you've developed others while growing your own capabilities.,Leadership,Hard,Company Culture
Snap,Entry Level,Be Kind,Treat others with respect and empathy,Describe a time when you showed kindness in a challenging professional situation.,Values,Medium,Company Values
Snap,Mid Level,Be Creative,Think outside the box to solve problems,Tell me about an innovative solution you developed for a complex challenge.,Problem Solving,Medium,Company Values
Snap,Senior,Be Smart,Make data-driven decisions,Give me an example of how you've used analytics to drive strategic decision-making.,Leadership,Hard,Company Values
Snap,Leadership,Be Yourself,Embrace authenticity in leadership,Describe how your authentic leadership style has positively impacted your team.,Leadership,Hard,Company Values
TikTok,Entry Level,Be Authentic,Stay true to yourself and your values,Tell me about a time when staying authentic helped you build stronger relationships.,Values,Medium,Company Culture
TikTok,Mid Level,Be Creative,Embrace creativity and innovation,Describe a situation where creative thinking led to an unexpected breakthrough.,Problem Solving,Medium,Company Culture
TikTok,Senior,Be Courageous,Take bold actions to drive progress,Give me an example of when you took a calculated risk that paid off significantly.,Leadership,Hard,Company Culture
TikTok,Leadership,Be Real,Maintain transparency and honesty,Tell me about how you've built trust through transparent communication during uncertainty.,Leadership,Hard,Company Culture
Zoom,Entry Level,Care,Show genuine care for colleagues and customers,Describe a time when you went out of your way to help a colleague or customer succeed.,Culture Fit,Medium,Company Values
Zoom,Mid Level,Own,Take ownership of outcomes and decisions,Tell me about a situation where you took full responsibility for a project's success or failure.,Values,Medium,Company Values
Zoom,Senior,Optimizing,Continuously improve processes and outcomes,Give me an example of how you've systematically improved a key business process.,Problem Solving,Hard,Company Values
Zoom,Leadership,Kaizen,Embrace continuous improvement,Describe how you've fostered a culture of continuous improvement in your organization.,Leadership,Hard,Company Values
Slack,Entry Level,Empathy,Understand and respond to others' needs,Tell me about a time when understanding someone's perspective changed your approach.,Values,Medium,Company Values
Slack,Mid Level,Courtesy,Treat everyone with respect and professionalism,Describe how you've maintained professionalism during a heated disagreement.,Teamwork,Medium,Company Values
Slack,Senior,Thriving,Help others reach their full potential,Give me an example of how you've mentored someone to achieve exceptional growth.,Leadership,Hard,Company Values
Slack,Leadership,Craftsmanship,Deliver work of exceptional quality,Tell me about how you've established and maintained high quality standards.,Leadership,Hard,Company Values
Dropbox,Entry Level,Be Worth It,Create genuine value in everything we do,Describe a project where you focused on delivering maximum value to stakeholders.,Culture Fit,Medium,Company Values
Dropbox,Mid Level,Aim Higher,Set ambitious goals and pursue excellence,Tell me about a time when you set a seemingly impossible goal and achieved it.,Problem Solving,Medium,Company Values
Dropbox,Senior,Curate,Focus on what matters most,Give me an example of how you've prioritized initiatives to maximize impact.,Leadership,Hard,Company Values
Dropbox,Leadership,No Ego,Put team success above personal recognition,Describe a situation where you put team success ahead of personal advancement.,Leadership,Hard,Company Values
Square,Entry Level,Build Tools We Love,Create products we're passionate about using,Tell me about a time when your personal passion for a project drove exceptional results.,Culture Fit,Medium,Company Culture
Square,Mid Level,Question Assumptions,Challenge conventional thinking,Describe a situation where questioning assumptions led to a breakthrough insight.,Problem Solving,Medium,Company Culture
Square,Senior,Make it Easy,Simplify complex problems,Give me an example of how you've simplified a complex process for better user experience.,Problem Solving,Hard,Company Culture
Square,Leadership,Default to Transparency,Communicate openly unless there's reason not to,Tell me about how you've used transparency to build trust during a difficult period.,Values,Hard,Company Culture
PayPal,Entry Level,Inclusion,Create an environment where everyone belongs,Describe a time when you helped someone feel included in a team or project.,Values,Medium,Company Values
PayPal,Mid Level,Innovation,Drive innovation to improve lives and businesses,Tell me about an innovative solution you developed that had significant impact.,Problem Solving,Medium,Company Values
PayPal,Senior,Collaboration,Work together to achieve shared goals,Give me an example of how you've facilitated collaboration across different cultures or regions.,Teamwork,Hard,Company Values
PayPal,Leadership,Wellness,Promote well-being for ourselves and others,Describe how you've balanced high performance expectations with team wellness.,Leadership,Hard,Company Values
Pfizer,Entry Level,Patient Focus,Put patients at the center of decisions,Tell me about a time when you advocated for end-user needs in your decision-making.,Culture Fit,Medium,Company Purpose
Pfizer,Mid Level,Quality,Maintain the highest standards of quality,Describe a situation where you refused to compromise on quality despite pressure.,Values,Medium,Company Purpose
Pfizer,Senior,Innovation,Drive scientific innovation for better health,Give me an example of how you've fostered innovation within your team or organization.,Problem Solving,Hard,Company Purpose
Pfizer,Leadership,Collaboration,Work together to breakthrough for patients,Tell me about how you've united diverse teams around a common mission.,Teamwork,Hard,Company Purpose
Novartis,Entry Level,Inspired,Be passionate about making a difference,Describe what motivates you to excel in challenging situations.,Culture Fit,Medium,Company Values
Novartis,Mid Level,Curious,Continuously learn and explore new possibilities,Tell me about a time when curiosity led you to discover an important insight.,Problem Solving,Medium,Company Values
Novartis,Senior,Unbossed,Take initiative without waiting for direction,Give me an example of when you proactively solved a problem before it became critical.,Leadership,Hard,Company Values
Novartis,Leadership,Unleashed,Empower others to achieve their best,Describe how you've developed and empowered high-performing teams.,Leadership,Hard,Company Values
Roche,Entry Level,Integrity,Act with honesty and transparency,Tell me about a difficult decision where you chose integrity over convenience.,Values,Medium,Company Values
Roche,Mid Level,Courage,Take bold actions to advance patient care,Describe a time when you took a courageous stand for what you believed was right.,Culture Fit,Medium,Company Values
Roche,Senior,Passion,Show dedication to improving lives,Give me an example of how your passion has driven exceptional results in your work.,Leadership,Hard,Company Values
Roche,Leadership,Sustainability,Consider long-term impact in all decisions,Tell me about how you've balanced immediate needs with long-term sustainability.,Leadership,Hard,Company Values
Merck,Entry Level,Our Patients,Keep patients as our North Star,Describe a time when you made a decision based primarily on end-user benefit.,Culture Fit,Medium,Company Values
Merck,Mid Level,Our People,Value and develop our colleagues,Tell me about how you've invested in someone else's professional development.,Teamwork,Medium,Company Values
Merck,Senior,Our Company,Act as stewards of the company's reputation,Give me an example of how you've protected and enhanced organizational reputation.,Leadership,Hard,Company Values
Merck,Leadership,Our World,Consider broader societal impact,Describe an initiative you led that created value beyond immediate business results.,Leadership,Hard,Company Values
AbbVie,Entry Level,Passion,Bring energy and enthusiasm to work,Tell me about a project where your passion was contagious and inspired others.,Culture Fit,Medium,Company Culture
AbbVie,Mid Level,Urgency,Act with speed when patients are waiting,Describe a situation where you had to balance speed with thoroughness.,Problem Solving,Medium,Company Culture
AbbVie,Senior,Innovation,Push boundaries to advance medicine,Give me an example of how you've challenged conventional approaches in your field.,Problem Solving,Hard,Company Culture
AbbVie,Leadership,Humility,Stay grounded and learning-oriented,Tell me about a time when admitting you didn't know something led to better outcomes.,Values,Hard,Company Culture
Bristol Myers Squibb,Entry Level,Follow the Science,Make evidence-based decisions,Describe a time when data changed your initial assumptions about a problem.,Problem Solving,Medium,Company Values
Bristol Myers Squibb,Mid Level,Do the Right Thing,Act with integrity in all situations,Tell me about a difficult situation where you chose to do what was right over what was easy.,Values,Medium,Company Values
Bristol Myers Squibb,Senior,Include Everyone,Embrace diverse perspectives,Give me an example of how diverse viewpoints improved a decision or outcome.,Teamwork,Hard,Company Values
Bristol Myers Squibb,Leadership,Go Beyond,Exceed expectations to serve patients,Describe how you've pushed your team to achieve results beyond what was expected.,Leadership,Hard,Company Values
Eli Lilly,Entry Level,Integrity,Maintain the highest ethical standards,Tell me about a time when you had to make a tough ethical choice.,Values,Medium,Company Core Values
Eli Lilly,Mid Level,Excellence,Strive for excellence in everything we do,Describe a situation where you refused to settle for good enough.,Culture Fit,Medium,Company Core Values
Eli Lilly,Senior,Respect for People,Value every individual,Give me an example of how you've shown respect for diverse perspectives in decision-making.,Values,Hard,Company Core Values
Eli Lilly,Leadership,Making Life Better,Focus on improving lives through our work,Tell me about an initiative you led that had meaningful impact on people's lives.,Leadership,Hard,Company Core Values
Walmart,Entry Level,Service to the Customer,Put customers first in all decisions,Describe a time when you went above and beyond to meet a customer's needs.,Culture Fit,Medium,Company Culture
Walmart,Mid Level,Respect for the Individual,Value every person's contribution,Tell me about how you've made someone feel valued despite their different perspective.,Values,Medium,Company Culture
Walmart,Senior,Strive for Excellence,Continuously improve and innovate,Give me an example of how you've driven continuous improvement in your organization.,Problem Solving,Hard,Company Culture
Walmart,Leadership,Act with Integrity,Do the right thing even when difficult,Describe a situation where maintaining integrity required personal sacrifice.,Leadership,Hard,Company Culture
Target,Entry Level,Care,Show genuine concern for people and communities,Tell me about a time when you demonstrated care beyond your job requirements.,Culture Fit,Medium,Company Values
Target,Mid Level,Grow,Continuously develop yourself and others,Describe how you've helped someone else grow professionally.,Teamwork,Medium,Company Values
Target,Senior,Win Together,Collaborate to achieve shared success,Give me an example of how you've unified competing teams around a common goal.,Leadership,Hard,Company Values
Target,Leadership,Own It,Take accountability for results,Tell me about a time when you took full ownership of a challenging situation.,Leadership,Hard,Company Values
Home Depot,Entry Level,Respect for All People,Treat everyone with dignity and respect,Describe a situation where you advocated for respectful treatment of all stakeholders.,Values,Medium,Company Values
Home Depot,Mid Level,Excellent Customer Service,Exceed customer expectations,Tell me about a time when you delivered exceptional service despite challenging circumstances.,Culture Fit,Medium,Company Values
Home Depot,Senior,Taking Care of Our People,Invest in employee development and well-being,Give me an example of how you've balanced high performance with employee well-being.,Leadership,Hard,Company Values
Home Depot,Leadership,Giving Back,Contribute to communities we serve,Describe an initiative you led that created value for the broader community.,Leadership,Hard,Company Values
McDonald's,Entry Level,Serve,Focus on serving customers and communities,Tell me about a time when you prioritized service over personal convenience.,Culture Fit,Medium,Company Values
McDonald's,Mid Level,Inclusion,Create an environment where everyone belongs,Describe how you've fostered inclusion in a diverse team setting.,Values,Medium,Company Values
McDonald's,Senior,Integrity,Act with honesty and transparency,Give me an example of when maintaining integrity required difficult conversations.,Values,Hard,Company Values
McDonald's,Leadership,Community,Build connections that strengthen communities,Tell me about how you've built community within your organization.,Leadership,Hard,Company Values
Disney,Entry Level,Optimism,Maintain a positive outlook,Describe a time when your optimism helped others persevere through challenges.,Culture Fit,Medium,Company Culture
Disney,Mid Level,Innovation,Continuously create new magic,Tell me about an innovative idea you developed that surprised and delighted stakeholders.,Problem Solving,Medium,Company Culture
Disney,Senior,Decency,Treat others with respect and fairness,Give me an example of how you've maintained decency during a difficult conflict.,Values,Hard,Company Culture
Disney,Leadership,Quality,Deliver excellence in everything we do,Describe how you've established and maintained excellence standards in your organization.,Leadership,Hard,Company Culture
Procter & Gamble,Entry Level,Integrity,Do the right thing with consistency,Tell me about a time when you maintained high ethical standards under pressure.,Values,Medium,Company Principles
Procter & Gamble,Mid Level,Leadership,Take initiative to drive results,Describe a situation where you stepped up to lead when leadership was needed.,Leadership,Medium,Company Principles
Procter & Gamble,Senior,Ownership,Act like an owner in all decisions,Give me an example of how you've balanced short-term and long-term thinking.,Leadership,Hard,Company Principles
Procter & Gamble,Leadership,Passion for Winning,Compete to win in the marketplace,Tell me about how you've instilled a winning mindset in your team.,Leadership,Hard,Company Principles
Tesla,Entry Level,Do the Right Thing,Act with integrity even when difficult,Describe a situation where you chose to do what was right over what was profitable.,Values,Medium,Company Culture
Tesla,Mid Level,Think Like an Owner,Make decisions as if you own the company,Tell me about a time when you made a decision that prioritized long-term success over short-term gains.,Culture Fit,Medium,Company Culture
Tesla,Senior,We are ALL IN,Commit fully to the mission,Give me an example of how you've demonstrated exceptional commitment during challenging times.,Leadership,Hard,Company Culture
Tesla,Leadership,Move Fast,Execute with urgency and precision,Describe how you've accelerated important initiatives without sacrificing quality.,Leadership,Hard,Company Culture
Ford,Entry Level,People First,Put people at the center of everything,Tell me about a time when you prioritized employee well-being in your decision-making.,Culture Fit,Medium,Company Values
Ford,Mid Level,Customer Obsessed,Exceed customer expectations consistently,Describe a situation where you went beyond requirements to create customer value.,Culture Fit,Medium,Company Values
Ford,Senior,Play to Win,Compete with determination and resilience,Give me an example of how you've maintained competitive focus during setbacks.,Leadership,Hard,Company Values
Ford,Leadership,Build Smart,Make intelligent decisions with available resources,Tell me about how you've optimized resources to achieve ambitious goals.,Leadership,Hard,Company Values
GM,Entry Level,Customer First,Put customers at the center of decisions,Describe a time when you advocated for customer needs in product development.,Culture Fit,Medium,Company Culture
GM,Mid Level,Relationships,Build trust through authentic connections,Tell me about how you've developed strong working relationships with challenging stakeholders.,Teamwork,Medium,Company Culture
GM,Senior,Excellence,Deliver outstanding results consistently,Give me an example of how you've maintained excellence during rapid change.,Leadership,Hard,Company Culture
GM,Leadership,Integrity,Act with honesty and transparency,Describe a situation where maintaining integrity required difficult conversations with leadership.,Values,Hard,Company Culture
BMW,Entry Level,Responsibility,Take ownership for actions and decisions,Tell me about a time when you took responsibility for a team failure.,Values,Medium,Company Values
BMW,Mid Level,Appreciation,Value diverse perspectives and contributions,Describe how you've leveraged diverse viewpoints to improve outcomes.,Teamwork,Medium,Company Values
BMW,Senior,Transparency,Communicate openly and honestly,Give me an example of how transparent communication helped resolve a complex issue.,Leadership,Hard,Company Values
BMW,Leadership,Trust,Build confidence through consistent actions,Tell me about how you've rebuilt trust after it was damaged.,Leadership,Hard,Company Values
Mercedes,Entry Level,Passion,Show enthusiasm for automotive excellence,Describe what drives your passion for delivering exceptional work.,Culture Fit,Medium,Company Culture
Mercedes,Mid Level,Respect,Value every individual's contribution,Tell me about how you've shown respect for different working styles or approaches.,Values,Medium,Company Culture
Mercedes,Senior,Integrity,Maintain the highest ethical standards,Give me an example of when you had to choose between easy profits and doing right.,Values,Hard,Company Culture
Mercedes,Leadership,Responsibility,Take accountability for sustainable business practices,Describe how you've balanced performance targets with sustainable practices.,Leadership,Hard,Company Culture
Toyota,Entry Level,Continuous Improvement,Always seek ways to get better,Tell me about a time when you identified and implemented a process improvement.,Problem Solving,Medium,Toyota Way
Toyota,Mid Level,Respect for People,Value every team member's contribution,Describe how you've empowered others to contribute their best work.,Teamwork,Medium,Toyota Way
Toyota,Senior,Long-term Thinking,Make decisions with future impact in mind,Give me an example of how you've balanced short-term pressures with long-term vision.,Leadership,Hard,Toyota Way
Toyota,Leadership,Go and See,Understand problems firsthand,Tell me about a time when direct observation changed your understanding of a problem.,Leadership,Hard,Toyota Way
ExxonMobil,Entry Level,Safety,Prioritize safety in all operations,Describe a situation where you had to choose between speed and safety.,Values,Medium,Company Values
ExxonMobil,Mid Level,Integrity,Conduct business with highest ethical standards,Tell me about a time when maintaining integrity required personal sacrifice.,Values,Medium,Company Values
ExxonMobil,Senior,Respect,Treat all people with dignity and fairness,Give me an example of how you've fostered respect in a culturally diverse environment.,Teamwork,Hard,Company Values
ExxonMobil,Leadership,Excellence,Strive for excellence in everything we do,Describe how you've established a culture of excellence in your organization.,Leadership,Hard,Company Values
Shell,Entry Level,Honesty,Communicate with transparency and truth,Tell me about a time when being honest led to a better outcome despite initial discomfort.,Values,Medium,Company Core Values
Shell,Mid Level,Integrity,Act consistently with values and principles,Describe a situation where you maintained your principles under significant pressure.,Values,Medium,Company Core Values
Shell,Senior,Respect,Value diverse perspectives and treat all fairly,Give me an example of how you've leveraged diversity to solve complex challenges.,Teamwork,Hard,Company Core Values
Shell,Leadership,Innovation,Drive innovation for sustainable energy solutions,Tell me about how you've led innovation initiatives that created lasting value.,Leadership,Hard,Company Core Values
Chevron,Entry Level,Integrity,Earn trust through ethical conduct,Describe a time when you built trust by consistently doing what you said you'd do.,Values,Medium,Company Values
Chevron,Mid Level,Partnership,Work collaboratively for mutual success,Tell me about how you've built partnerships that created value for all parties.,Teamwork,Medium,Company Values
Chevron,Senior,Performance,Deliver results that exceed expectations,Give me an example of how you've consistently delivered exceptional performance.,Leadership,Hard,Company Values
Chevron,Leadership,People,Develop and empower high-performing teams,Describe how you've developed leaders within your organization.,Leadership,Hard,Company Values
BP,Entry Level,Safety,Make safety the top priority,Tell me about a time when you had to stop work due to safety concerns.,Values,Medium,Company Values
BP,Mid Level,Respect,Treat everyone with dignity,Describe how you've maintained respect during a heated disagreement.,Teamwork,Medium,Company Values
BP,Senior,Excellence,Strive for outstanding performance,Give me an example of how you've raised performance standards in your team.,Leadership,Hard,Company Values
BP,Leadership,Courage,Take bold action when necessary,Tell me about a time when you took a courageous stand that others were afraid to take.,Leadership,Hard,Company Values
Total,Entry Level,Safety,Prioritize safety above all else,Describe a situation where you chose safety over meeting a deadline.,Values,Medium,Company Commitments
Total,Mid Level,Pioneer Spirit,Drive innovation and exploration,Tell me about an innovative approach you pioneered that others later adopted.,Problem Solving,Medium,Company Commitments
Total,Senior,Solidarity,Support colleagues and communities,Give me an example of how you've shown solidarity during a crisis or challenge.,Teamwork,Hard,Company Commitments
Total,Leadership,Efficiency,Optimize performance and resource utilization,Describe how you've improved efficiency while maintaining quality standards.,Leadership,Hard,Company Commitments
Comcast,Entry Level,Integrity,Act with honesty and transparency,Tell me about a time when you had to admit an error and explain how you fixed it.,Values,Medium,Company Values
Comcast,Mid Level,Accountability,Take ownership of results and decisions,Describe a situation where you took accountability for a team's underperformance.,Leadership,Medium,Company Values
Comcast,Senior,Pioneering,Drive innovation and new thinking,Give me an example of how you've introduced innovative solutions to old problems.,Problem Solving,Hard,Company Values
Comcast,Leadership,Collaboration,Work together to achieve exceptional results,Tell me about how you've fostered collaboration across different business units.,Teamwork,Hard,Company Values
Warner Bros Discovery,Entry Level,Courage,Take bold creative and business risks,Describe a time when you took a calculated risk that led to significant positive outcomes.,Culture Fit,Medium,Company Values
Warner Bros Discovery,Mid Level,Curiosity,Always seek to learn and understand more,Tell me about how curiosity led you to uncover an important opportunity.,Problem Solving,Medium,Company Values
Warner Bros Discovery,Senior,Collaboration,Work together to create extraordinary content,Give me an example of how collaboration improved a creative or business outcome.,Teamwork,Hard,Company Values
Warner Bros Discovery,Leadership,Authenticity,Stay true to values while driving results,Describe how authentic leadership has helped you build trust and drive performance.,Leadership,Hard,Company Values
Fox,Entry Level,Innovation,Push boundaries in content and technology,Tell me about a time when you challenged conventional thinking to create something new.,Problem Solving,Medium,Company Culture
Fox,Mid Level,Excellence,Deliver outstanding content and experiences,Describe how you've maintained high quality standards under tight deadlines.,Culture Fit,Medium,Company Culture
